ID,Name,Prefixes,Tenant,Status,Role,Description,Tags,Group,Site
3149,noc-nat-co1-cs1,131.112.254.186/31,,Active,BB,nat core-o1 – core-o2,Global,Titanet,
3150,noc-bb-v3150,131.112.254.144/30,,Active,BB,,Global,Titanet,
3159,noc-nat-cs1-cs2,131.112.254.190/31,,Active,BB,nat core-s1 – core-s2,Global,Titanet,
3160,noc-co1-slbo1,131.112.254.128/30,,Active,BB,core-o1 – slb-o1,Global,Titanet,
3161,noc-co2-slbo1,131.112.254.132/30,,Active,BB,core-o2 – slb-o1,Global,Titanet,
3162,noc-co1-10go-sgwo4,131.112.254.220/31,,Active,BB,core-o1 – 10g-gsic – sgw-o4,Global,Titanet,
3163,noc-co2-10go-sgwo4,131.112.254.222/31,,Active,BB,core-o2 – 10g-gsic – sgw-o4,Global,Titanet,
3169,noc-bo1-10go-sgwo4,131.112.254.216/31,,Active,BB,border-o1 – 10g-gsic – sgw-o4,Global,Titanet,
3170,noc-co1-sgwo2,131.112.254.160/31,,Active,BB,core-o1 – sgw-o2,Global,Titanet,
3171,noc-bo1-co2-sgwo2,131.112.254.178/31,,Active,BB,border-o1 – core-o2 – sgw-o2,Global,Titanet,
3172,noc-nat-co1-sgwo2,131.112.254.164/31,,Active,BB,nat core-o1 – sgw-o2,Global,Titanet,
3174,noc-fw-trust,131.112.255.220/30,,Active,BB,Firewall trust segment,Global,Titanet,
3175,noc-cs1-sgws2,131.112.254.168/31,,Active,BB,core-s1 – sgw-s2,Global,Titanet,
3176,noc-bs1-cs2-sgws2,131.112.254.182/31,,Active,BB,border-s1 – core-s2 – sgw-s2,Global,Titanet,
3177,noc-nat-cs1-sgws2,131.112.254.172/31,,Active,BB,nat core-s1 – sgw-s2,Global,Titanet,
3178,event-nat-bdr,131.112.254.158/31,,Active,BB,,Global,Titanet,
3179,noc-bo1-fg,131.112.254.82/31,,Active,BB,border-o1 – fortigate,Global,Titanet,
3180,noc-bo1-co1-sgwo2,131.112.254.176/31,,Active,BB,border-o1 – core-o2 – sgw-o2,Global,Titanet,
3181,noc-co2-sgwo2,131.112.254.162/31,,Active,BB,core-o2 – sgw-o2,Global,Titanet,
3182,noc-nat-co2-sgwo2,131.112.254.166/31,,Active,BB,nat core-o2 – sgw-o2,Global,Titanet,
3183,noc-eventnat-bo1-sgwo2,131.112.254.156/31,,Active,BB,nat border-o1 – sgw-o2,Global,Titanet,
3184,noc-fw-untrust,131.112.254.174/31,,Active,BB,Firewall untrust segment,Global,Titanet,
3185,noc-bs1-cs1-sgws2,131.112.254.180/31,,Active,BB,border-s1 – core-s1 – sgw-s2,Global,Titanet,
3186,noc-cs2-sgws2,131.112.254.170/31,,Active,BB,core-s2 – sgw-s2,Global,Titanet,
3187,noc-nat-cs2-sgws2,131.112.254.174/31,,Active,BB,nat core-s2 – sgw-s2,Global,Titanet,
3188,noc-nat-co2-fg,131.112.254.78/31,,Active,BB,nat core-o2 – fortigate,Global,Titanet,
3189,noc-co2-fg,131.112.254.80/31,,Active,BB,core-o2 – fortigate,Global,Titanet,
3240,noc-bb-v3240,131.112.254.204/30,,Active,BB,,Global,Titanet,
3260,mrr_frm_honkan_prx-res,&mdash;,,Active,BB,,,Titanet,
3261,mrr_frm_setsubi_prx-res,&mdash;,,Active,BB,,,Titanet,
3360,noc-crs1-slbs1,131.112.254.136/30,,Active,BB,core-s1 – slb-s1,Global,Titanet,
3361,noc-crs2-slbs1,131.112.255.140/30,,Active,BB,core-s2 – slb-s1,Global,Titanet,
3404,noc-vr-coo1-boo1,131.112.254.58/31,,Active,BB,vr core-o1 – border-o1,Global,Titanet,
3415,noc-vr-coo2-boo1,131.112.254.70/31,,Active,BB,vr core-o2 – border-o1,Global,Titanet,
3440,noc-vr-coo2-coo1,131.112.254.62/31,,Active,BB,vr core-o2 – core-o1,Global,Titanet,
3450,noc-vr-cos1-coo1,131.112.254.64/31,,Active,BB,vr core-s1 – core-o1,Global,Titanet,
3460,noc-vr-cos2-coo2,131.112.254.66/31,,Active,BB,vr core-s2 – core-o2,Global,Titanet,
3504,noc-vr-cos1-bos1,131.112.254.72/31,,Active,BB,vr core-s1 – border-s1,Global,Titanet,
3514,noc-vr-cos2-bos1,131.112.254.74/31,,Active,BB,vr core-s2 – border-s1,Global,Titanet,
3540,noc-vr-cos2-cos1,131.112.254.76/31,,Active,BB,vr core-s2 – core-s1,Global,Titanet,
1202,flets_satohsyoji,&mdash;,,Active,&mdash;,,,,
1203,flets_hatori,&mdash;,,Active,&mdash;,,,,
