Prefix,Status,Children,VRF,Utilization,Tenant,Site,VLAN,Role,Description,Tags,Prefix (Flat),Depth,Pool,Marked Utilized
"•
        
    

131.112.79.64/27",Active,0,Global,0%,,,ctrl-7 (846),BRANCH,,Global,131.112.79.64/27,1,False,False
"•
        
    

131.112.79.96/27",Active,0,Global,0%,,,ctrl-14 (608),BRANCH,,Global,131.112.79.96/27,1,False,False
"•
        
    

131.112.79.128/27",Active,0,Global,0%,,,ctrl-13 (609),BRANCH,,Global,131.112.79.128/27,1,False,False
"•
        
    

131.112.79.160/27",Active,0,Global,0%,,,ctrl-9 (807),BRANCH,,Global,131.112.79.160/27,1,False,False
"•
        
    

131.112.79.192/27",Active,0,Global,0%,,,ctrl-8 (844),BRANCH,,Global,131.112.79.192/27,1,False,False
"•
        
    

131.112.79.224/27",Active,0,Global,0%,,,ctrl-1 (982),BRANCH,,Global,131.112.79.224/27,1,False,False
"•
        
    

131.112.80.64/26",Active,0,Global,0%,,,ide-5 (831),BRANCH,,Global,131.112.80.64/26,1,False,False
"•
        
    

131.112.80.192/26",Active,0,Global,0%,,,ide-4 (838),BRANCH,,Global,131.112.80.192/26,1,False,False
"•
        
    

131.112.81.128/25",Active,0,Global,0%,,,mtl-1 (906),BRANCH,,Global,131.112.81.128/25,1,False,False
"•
        
    

131.112.82.0/26",Active,0,Global,0%,,,hokekan-2 (795),BRANCH,,Global,131.112.82.0/26,1,False,False
"•
        
    

131.112.83.0/24",Active,0,Global,0%,,,ceram-1 (737),BRANCH,,Global,131.112.83.0/24,1,False,False
"•
        
    

131.112.85.0/26",Active,0,Global,0%,,,rcd-2 (712),BRANCH,,Global,131.112.85.0/26,1,False,False
"•
        
    

131.112.85.64/26",Active,0,Global,0%,,,rcd-1 (729),BRANCH,,Global,131.112.85.64/26,1,False,False
"•
        
    

131.112.85.128/26",Active,0,Global,0%,,,ofc-1 (500),BRANCH,,Global,131.112.85.128/26,1,False,False
"•
        
    

131.112.85.192/26",Active,0,Global,0%,,,ofc-2 (473),BRANCH,,Global,131.112.85.192/26,1,False,False
"•
        
    

131.112.87.0/26",Active,0,Global,0%,,,hum-5 (560),BRANCH,,Global,131.112.87.0/26,1,False,False
"•
        
    

131.112.87.64/27",Active,0,Global,0%,,,hum-6 (559),BRANCH,,Global,131.112.87.64/27,1,False,False
"•
        
    

131.112.87.96/27",Active,0,Global,0%,,,hum-7 (558),BRANCH,,Global,131.112.87.96/27,1,False,False
"•
        
    

131.112.87.128/26",Active,0,Global,0%,,,hum-8 (557),BRANCH,,Global,131.112.87.128/26,1,False,False
"•
        
    

131.112.87.192/26",Active,0,Global,0%,,,hum-9 (556),BRANCH,,Global,131.112.87.192/26,1,False,False
"•
        
    

131.112.88.0/27",Active,0,Global,0%,,,ee-3 (633),BRANCH,,Global,131.112.88.0/27,1,False,False
"•
        
    

131.112.91.0/26",Active,0,Global,0%,,,nr-4 (878),BRANCH,,Global,131.112.91.0/26,1,False,False
"•
        
    

131.112.91.64/26",Active,0,Global,0%,,,nr-6 (806),BRANCH,,Global,131.112.91.64/26,1,False,False
"•
        
    

131.112.92.0/26",Active,0,Global,0%,,,pe-2 (931),BRANCH,,Global,131.112.92.0/26,1,False,False
"•
        
    

131.112.92.128/26",Active,0,Global,0%,,,pe-4 (797),BRANCH,,Global,131.112.92.128/26,1,False,False
"•
        
    

131.112.95.0/26",Active,0,Global,0%,,,math-1 (871),BRANCH,,Global,131.112.95.0/26,1,False,False
"•
        
    

131.112.95.64/26",Active,0,Global,0%,,,math-3 (826),BRANCH,,Global,131.112.95.64/26,1,False,False
"•
        
    

131.112.95.128/26",Active,0,Global,0%,,,math-4 (665),BRANCH,,Global,131.112.95.128/26,1,False,False
